,current_complaint_category,days_open,incident_location,cr_id
57031,VERBAL ABUSE,1455,POLICE FACILITY/VEH PARKING LOT,1034528
57032,MISCELLANEOUS,857,RESIDENCE PORCH/HALLWAY,1034617
57033,MISCELLANEOUS,857,POLICE FACILITY/VEH PARKING LOT,1034617
57034,CLOSED HAND STRIKE (PUNCH),842,RESIDENCE PORCH/HALLWAY,1034472
57035,EXCESSIVE FORCE / ON DUTY - INJURY,1548,STREET,1034723
57036,CLOSED HAND STRIKE (PUNCH),1234,DRUG STORE,1036570
57037,EXCESSIVE FORCE / ON DUTY - INJURY,874,ALLEY,1036120
57038,EXCESSIVE FORCE / ON DUTY - INJURY,656,STREET,1034915
57039,MISCELLANEOUS,456,POLICE FACILITY/VEH PARKING LOT,1035828
57040,FIREARM DISCHARGE WITH HITS - HANDGUN,244,STREET,1035616
57041,CHOKED,717,SIDEWALK,1035554
57042,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,100,STREET,1035574
57043,PUSH/PULL/GRAB,336,"SCHOOL, PUBLIC, GROUNDS",1035770
57044,USE OF PROFANITY,158,STREET,1036889
57045,EXCESSIVE FORCE / ON DUTY - NO INJURY,238,APARTMENT,1035701
57046,EXCESSIVE FORCE / ON DUTY - NO INJURY,906,STREET,1035910
57047,EXCESSIVE FORCE / ON DUTY - INJURY,651,STREET,1035503
57048,INJURY,1023,STREET,1034432
57049,EXCESSIVE FORCE / OFF DUTY - NO INJURY,690,STREET,1036951
57050,"RACIAL / ETHNIC, ETC.",335,STREET,1034666
57051,CHOKED,566,"SCHOOL, PUBLIC, GROUNDS",1034565
57052,CLOSED HAND STRIKE (PUNCH),841,STREET,1035831
57053,EXCESSIVE FORCE / ON DUTY - INJURY,76,STREET,1034527
57054,CLOSED HAND STRIKE (PUNCH),879,SIDEWALK,1037579
57055,EXCESSIVE FORCE / ON DUTY - INJURY,878,,1036017
57056,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,119,,1036850
57057,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,254,RESIDENCE,1036971
57058,MISCELLANEOUS,889,RESIDENTIAL YARD (FRONT/BACK),1033728
57059,EXCESSIVE FORCE / ON DUTY - INJURY,994,BAR OR TAVERN,1035629
57060,PUSH/PULL/GRAB,242,ALLEY,1035105
57061,PUSH/PULL/GRAB,439,"SCHOOL, PUBLIC, BUILDING",1035507
57062,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,656,STREET,1035465
57063,"IMPACT WEAPON - UNAUTHORIZED (FLASHLIGHT, HANDCUFFS, ETC)",944,BAR OR TAVERN,1034767
57064,TAKE DOWN (THROWN TO GROUND),1783,RESIDENTIAL YARD (FRONT/BACK),1037041
57065,TAKE DOWN (THROWN TO GROUND),1783,POLICE FACILITY/VEH PARKING LOT,1037041
57066,MISCELLANEOUS,200,STREET,1035261
57067,UNNECESSARY PHYSICAL CONTACT / ON DUTY - NO INJURY,58,RESIDENCE,1035763
57068,EXCESSIVE FORCE / ON DUTY - NO INJURY,1495,STREET,1034754
57069,DRAGGED,907,SIDEWALK,1036536
57070,SEXUAL ORIENTATION,494,SIDEWALK,1034538
57071,EXCESSIVE FORCE / ON DUTY - INJURY,424,STREET,1037179
57072,CLOSED HAND STRIKE (PUNCH),815,RESIDENCE,1034743
57073,EXCESSIVE FORCE / ON DUTY - NO INJURY,791,RESIDENCE,1035005
57074,MISCELLANEOUS,475,PARKING LOT/GARAGE(NON.RESID.),1037050
57075,EXCESSIVE FORCE / ON DUTY - INJURY,731,STREET,1036918
57076,EXCESSIVE FORCE / ON DUTY - INJURY,898,STREET,1035431
57077,CHOKED,274,"SCHOOL, PUBLIC, BUILDING",1036647
57078,PUSH/PULL/GRAB,150,POLICE FACILITY/VEH PARKING LOT,1036688
57079,KNEE STRIKE,161,POLICE FACILITY/VEH PARKING LOT,1034875
57080,TASER (PROBE DISCHARGE),385,SIDEWALK,1037223
57081,TAKE DOWN (THROWN TO GROUND),1783,POLICE FACILITY/VEH PARKING LOT,1037041
57082,MISCELLANEOUS,245,RESIDENCE PORCH/HALLWAY,1036700
57083,EXCESSIVE FORCE / ON DUTY - NO INJURY,305,APARTMENT,1036665
57084,"RACIAL / ETHNIC, ETC.",576,CTA TRAIN,1034862
57085,CHOKED,626,HOSPITAL BUILDING/GROUNDS,1034825
57086,EXCESSIVE FORCE / ON DUTY - INJURY,874,ALLEY,1036120
57087,MISCELLANEOUS,1299,APARTMENT,1035129
57088,EXCESSIVE FORCE / ON DUTY - INJURY,233,STREET,1035049
57089,EXCESSIVE FORCE / ON DUTY - INJURY,233,POLICE FACILITY/VEH PARKING LOT,1035049
57090,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,417,STREET,1035735
57091,"RACIAL / ETHNIC, ETC.",626,STREET,1034939
57092,EXCESSIVE FORCE / ON DUTY - INJURY,976,POLICE FACILITY/VEH PARKING LOT,1035885
57093,OC CHEMICAL WEAPON,637,STREET,1036045
57094,MISCELLANEOUS,728,ATHLETIC CLUB,1037080
57095,CLOSED HAND STRIKE (PUNCH),612,APARTMENT,1035092
57096,CLOSED HAND STRIKE (PUNCH),322,RESIDENCE,1034460
57097,EXCESSIVE FORCE / ON DUTY - INJURY,976,POLICE FACILITY/VEH PARKING LOT,1035885
57098,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,1027,POLICE FACILITY/VEH PARKING LOT,1036642
57099,EXCESSIVE FORCE / ON DUTY - INJURY,750,APARTMENT,1036207
57100,EXCESSIVE FORCE / ON DUTY - INJURY,1320,"SCHOOL, PUBLIC, BUILDING",1036076
57101,KICKED,411,STREET,1037258
57102,PUSH/PULL/GRAB,857,HOSPITAL BUILDING/GROUNDS,1035026
57103,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,314,STREET,1035882
57104,EXCESSIVE FORCE / ON DUTY - INJURY,1042,"SCHOOL, PUBLIC, BUILDING",1037072
57105,EXCESSIVE FORCE / OFF DUTY - NO INJURY,690,STREET,1036951
57106,OPEN HAND STRIKE (SLAP),501,"SCHOOL, PUBLIC, BUILDING",1037184
57107,MISCELLANEOUS,750,POLICE FACILITY/VEH PARKING LOT,1035184
57108,EXCESSIVE FORCE / ON DUTY - NO INJURY,909,RESIDENCE,1034883
57109,EXCESSIVE FORCE / ON DUTY - INJURY,544,RESIDENCE,1036065
57110,EXCESSIVE FORCE / ON DUTY - INJURY,770,RESIDENCE,1034899
57111,MISCELLANEOUS,943,ALLEY,1035936
57112,"RACIAL / ETHNIC, ETC.",432,APARTMENT,1035733
57113,"RACIAL / ETHNIC, ETC.",440,STREET,1037263
57114,MISCELLANEOUS,714,CTA TRAIN,1037204
57115,TAKE DOWN (THROWN TO GROUND),683,APARTMENT,1036880
57116,CLOSED HAND STRIKE (PUNCH),85,STREET,1037012
57117,MISCELLANEOUS,78,RESIDENCE PORCH/HALLWAY,1035194
57118,EXCESSIVE FORCE / ON DUTY - INJURY,228,STREET,1037095
57119,EXCESSIVE FORCE / ON DUTY - INJURY,519,CTA BUS,1035971
57120,EXCESSIVE FORCE / ON DUTY - INJURY,992,STREET,1035213
57121,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,1277,POLICE FACILITY/VEH PARKING LOT,1037108
57122,EXCESSIVE FORCE / ON DUTY - INJURY,1320,"SCHOOL, PUBLIC, BUILDING",1036076
57123,DOMESTIC INCIDENT - NOT PHYSICAL,126,RESIDENCE,1035785
57124,TWISTED EXTREMITIES (WRIST/ARM/LEG),196,POLICE FACILITY/VEH PARKING LOT,1035495
57125,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,903,STREET,1037101
57126,EXCESSIVE FORCE / ON DUTY - NO INJURY,906,STREET,1035910
57127,MISCELLANEOUS,291,APARTMENT,1035962
57128,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,291,STREET,1035470
57129,EXCESSIVE FORCE / ON DUTY - INJURY,1266,PARKING LOT/GARAGE(NON.RESID.),1026207
57130,MISCELLANEOUS,704,RESIDENCE PORCH/HALLWAY,1036129
57131,EXCESSIVE FORCE / ON DUTY - INJURY,651,STREET,1035503
57132,MISCELLANEOUS,51,POLICE FACILITY/VEH PARKING LOT,1035207
57133,MISCELLANEOUS,966,RESIDENCE,1036174
57134,TAKE DOWN (THROWN TO GROUND),1154,RESIDENCE PORCH/HALLWAY,1035064
57135,MISCELLANEOUS,756,STREET,1036906
57136,EXCESSIVE FORCE / ON DUTY - INJURY,121,POLICE FACILITY/VEH PARKING LOT,1035031
57137,EXCESSIVE FORCE / ON DUTY - NO INJURY,712,,1035722
57138,EXCESSIVE FORCE / ON DUTY - INJURY,182,"SCHOOL, PUBLIC, BUILDING",1037087
57139,INJURY,1079,STREET,1036356
57140,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,274,APARTMENT,1035840
57141,TAKE DOWN (THROWN TO GROUND),382,STREET,1034924
57142,EXCESSIVE FORCE / ON DUTY - INJURY,1042,POLICE FACILITY/VEH PARKING LOT,1037072
57143,ELBOW STRIKE,374,RESIDENCE,1035155
57144,CLOSED HAND STRIKE (PUNCH),85,RESIDENTIAL YARD (FRONT/BACK),1037012
57145,TAKE DOWN (THROWN TO GROUND),150,PARKING LOT/GARAGE(NON.RESID.),1035085
57146,KNEE STRIKE,170,SIDEWALK,1035643
57147,ELBOW STRIKE,49,STREET,1035268
57148,DOMESTIC INCIDENT - NOT PHYSICAL,1579,RESIDENCE,1037367
57149,PUSH/PULL/GRAB,857,HOSPITAL BUILDING/GROUNDS,1035026
57150,EXCESSIVE FORCE / ON DUTY - NO INJURY,791,RESIDENCE,1035005
57151,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,903,STREET,1037101
57152,PUSH/PULL/GRAB,588,"SCHOOL, PUBLIC, GROUNDS",1034519
57153,"RACIAL / ETHNIC, ETC.",432,APARTMENT,1035733
57154,EXCESSIVE FORCE / ON DUTY - INJURY,161,STREET,1035103
57155,OPEN HAND STRIKE (SLAP),1568,STREET,1034177
57156,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,316,RESIDENCE,1037007
57157,TAKE DOWN (THROWN TO GROUND),137,STREET,1035949
57158,EXCESSIVE FORCE / ON DUTY - NO INJURY,86,RESIDENCE,1034844
57159,MISCELLANEOUS,750,,1035184
57160,EXCESSIVE FORCE / ON DUTY - NO INJURY,345,STREET,1036326
57161,CHOKED,434,POLICE FACILITY/VEH PARKING LOT,1034842
57162,EXCESSIVE FORCE / ON DUTY - INJURY,1067,STREET,1034967
57163,EXCESSIVE FORCE / ON DUTY - NO INJURY,60,,1035939
57164,TAKE DOWN (THROWN TO GROUND),1141,RESIDENCE,1035875
57165,MISCELLANEOUS,78,SIDEWALK,1037028
57166,EXCESSIVE FORCE / ON DUTY - INJURY,233,POLICE FACILITY/VEH PARKING LOT,1035049
57167,OPEN HAND STRIKE (SLAP),200,STREET,1037760
57168,DOMESTIC INCIDENT - NOT PHYSICAL,1579,RESIDENCE,1037367
57169,MISCELLANEOUS,855,SIDEWALK,1036175
57170,CLOSED HAND STRIKE (PUNCH),468,POLICE FACILITY/VEH PARKING LOT,1037214
57171,EXCESSIVE FORCE / ON DUTY - INJURY,831,SIDEWALK,1037265
57172,MISCELLANEOUS,475,PARKING LOT/GARAGE(NON.RESID.),1037050
57173,EXCESSIVE FORCE / ON DUTY - NO INJURY,80,STREET,1037709
57174,MISCELLANEOUS,353,POLICE FACILITY/VEH PARKING LOT,1037128
57175,MISCELLANEOUS,991,RESIDENCE,1035461
57176,EXCESSIVE FORCE / ON DUTY - NO INJURY,173,STREET,1035295
57177,STOMPED / STEPPED ON,869,ALLEY,1035003
57178,MISCELLANEOUS,425,STREET,1037730
57179,CLOSED HAND STRIKE (PUNCH),932,STREET,1035326
57180,MISCELLANEOUS,722,SIDEWALK,1037884
57181,CLOSED HAND STRIKE (PUNCH),214,PARKING LOT/GARAGE(NON.RESID.),1034978
57182,EXCESSIVE FORCE / ON DUTY - NO INJURY,559,STREET,1034535
57183,MISCELLANEOUS,1428,PARKING LOT/GARAGE(NON.RESID.),1035260
57184,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,1277,POLICE FACILITY/VEH PARKING LOT,1037108
57185,EXCESSIVE FORCE / ON DUTY - INJURY,544,STREET,1035152
57186,KICKED,570,STREET,1037224
57187,MISCELLANEOUS,200,STREET,1035261
57188,EXCESSIVE FORCE / ON DUTY - NO INJURY,798,APARTMENT,1037288
57189,MISCELLANEOUS,241,STREET,1036896
57190,EXCESSIVE FORCE / ON DUTY - INJURY,182,"SCHOOL, PUBLIC, BUILDING",1037087
57191,CLOSED HAND STRIKE (PUNCH),204,RESIDENCE,1036382
57192,DRAGGED,651,SIDEWALK,1035664
57193,MISCELLANEOUS,413,SIDEWALK,1035673
57194,MISCELLANEOUS,78,RESIDENCE PORCH/HALLWAY,1037028
57195,MISCELLANEOUS,1225,STREET,1037275
57196,MISCELLANEOUS,756,RESIDENTIAL YARD (FRONT/BACK),1036906
57197,MISCELLANEOUS,1177,STREET,1036876
57198,COERCION - VIOLENCE,616,"SCHOOL, PUBLIC, BUILDING",1035586
57199,MISCELLANEOUS,440,APARTMENT,1035070
57200,EXCESSIVE FORCE / ON DUTY - INJURY,878,,1036017
57201,KICKED,605,RESIDENCE PORCH/HALLWAY,1035279
57202,PUSH/PULL/GRAB,668,RESIDENCE PORCH/HALLWAY,1036187
57203,MISCELLANEOUS,766,STREET,1035584
57204,HANDCUFF TOO TIGHT,428,"SCHOOL, PUBLIC, BUILDING",1035764
57205,MISCELLANEOUS,756,STREET,1036906
57206,MISCELLANEOUS,646,RESIDENCE,1037020
57207,MISCELLANEOUS,882,SIDEWALK,1035288
57208,MISCELLANEOUS,279,BAR OR TAVERN,1036196
57209,PUSH/PULL/GRAB,771,STREET,1036358
57210,HANDCUFF TOO TIGHT,755,POLICE FACILITY/VEH PARKING LOT,1037249
57211,DOMESTIC INCIDENT - NOT PHYSICAL,58,,1037778
57212,DOMESTIC ALTERCATION - PHYSICAL ABUSE,1505,APARTMENT,1037269
57213,PUSH/PULL/GRAB,482,,1036444
57214,PUSH/PULL/GRAB,792,RESIDENCE,1035373
57215,"RACIAL / ETHNIC, ETC.",215,,1035245
57216,TWISTED EXTREMITIES (WRIST/ARM/LEG),196,STREET,1035495
57217,FIREARM USED AS AN IMPACT WEAPON,485,SIDEWALK,1035805
57218,EXCESSIVE FORCE / ON DUTY - INJURY,121,POLICE FACILITY/VEH PARKING LOT,1035031
57219,MISCELLANEOUS,78,RESIDENCE PORCH/HALLWAY,1035194
57220,TAKE DOWN (THROWN TO GROUND),150,PARKING LOT/GARAGE(NON.RESID.),1035085
57221,MISCELLANEOUS,750,,1035184
57222,TAKE DOWN (THROWN TO GROUND),149,STREET,1035220
57223,MISCELLANEOUS,594,CTA PLATFORM,1037299
57224,EXCESSIVE FORCE / ON DUTY - INJURY,889,STREET,1036378
57225,CLOSED HAND STRIKE (PUNCH),819,STREET,1034935
57226,HARASSMENT,57,POLICE FACILITY/VEH PARKING LOT,1035000
57227,EXCESSIVE FORCE / ON DUTY - INJURY,814,SIDEWALK,1037180
57228,INJURY,1312,RESIDENCE,1036301
57229,MISCELLANEOUS,943,ALLEY,1035936
57230,UNJUSTIFIED POINTING OF FIREARM - HANDGUN,349,SIDEWALK,1035284
57231,FIREARM USED AS AN IMPACT WEAPON,161,RESIDENCE,1037100
57232,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,91,STREET,1037088
57233,EXCESSIVE FORCE / ON DUTY - INJURY,994,BAR OR TAVERN,1035629
57234,TAKE DOWN (THROWN TO GROUND),1783,RESIDENTIAL YARD (FRONT/BACK),1037041
57235,UNNECESSARY PHYSICAL CONTACT / ON DUTY - NO INJURY,58,RESIDENCE,1035763
57236,HANDCUFF TOO TIGHT,428,"SCHOOL, PUBLIC, BUILDING",1035764
57237,MISCELLANEOUS,357,STREET,1035215
57238,MISCELLANEOUS,148,RESIDENTIAL YARD (FRONT/BACK),1037616
57239,ELBOW STRIKE,49,STREET,1035268
57240,FIREARM USED AS AN IMPACT WEAPON,161,RESIDENCE,1037100
57241,CLOSED HAND STRIKE (PUNCH),468,POLICE FACILITY/VEH PARKING LOT,1037214
57242,MISCELLANEOUS,264,SIDEWALK,1035646
57243,MISCELLANEOUS,627,BAR OR TAVERN,1035331
57244,"RACIAL / ETHNIC, ETC.",607,GAS STATION,1035864
57245,MISCELLANEOUS,78,RESIDENCE PORCH/HALLWAY,1037028
57246,MISCELLANEOUS,966,RESIDENCE,1036174
57247,TASER (PROBE DISCHARGE),385,SIDEWALK,1037223
57248,EXCESSIVE FORCE / ON DUTY - NO INJURY,760,ALLEY,1036900
57249,INJURY,686,RESIDENCE,1036246
57250,"RACIAL / ETHNIC, ETC.",215,,1035245
57251,EXCESSIVE FORCE / ON DUTY - INJURY,1401,RESIDENCE PORCH/HALLWAY,1037059
57252,CLOSED HAND STRIKE (PUNCH),612,APARTMENT,1035092
57253,PUSH/PULL/GRAB,771,STREET,1036358
57254,MISCELLANEOUS,447,SIDEWALK,1037680
57255,MISCELLANEOUS,279,BAR OR TAVERN,1036196
57256,MISCELLANEOUS,851,STREET,1035912
57257,EXCESSIVE FORCE / ON DUTY - INJURY,233,STREET,1035049
57258,EXCESSIVE FORCE / ON DUTY - NO INJURY,290,HOSPITAL BUILDING/GROUNDS,1030109
57259,MISCELLANEOUS,655,POLICE FACILITY/VEH PARKING LOT,1035477
57260,CLOSED HAND STRIKE (PUNCH),140,RESTAURANT,1036212
57261,MISCELLANEOUS,413,SIDEWALK,1035673
57262,VERBAL ABUSE,1350,RESIDENCE,1035196
57263,CLOSED HAND STRIKE (PUNCH),530,STREET,1037307
57264,DRAGGED,552,VEHICLE NON-COMMERCIAL,1037443
57265,CLOSED HAND STRIKE (PUNCH),228,STREET,1037151
57266,MISCELLANEOUS,714,CTA TRAIN,1037204
57267,VIOLATION OF COURT ORDER,928,OTHER,1036894
57268,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,306,RESIDENCE,1037161
57269,EXCESSIVE FORCE / ON DUTY - NO INJURY,345,STREET,1036326
57270,CLOSED HAND STRIKE (PUNCH),140,RESTAURANT,1036212
57271,EXCESSIVE FORCE / ON DUTY - NO INJURY,798,APARTMENT,1037288
57272,MISDEMEANOR ARREST,4,STREET,1036366
57273,EXCESSIVE FORCE / OFF DUTY - INJURY,1831,STREET,1037559
57274,MISCELLANEOUS,742,POLICE FACILITY/VEH PARKING LOT,1037310
57275,EXCESSIVE FORCE / ON DUTY - INJURY,424,STREET,1037179
57276,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,254,RESIDENCE,1036971
57277,ELBOW STRIKE,374,RESIDENCE,1035155
57278,CHOKED,556,STREET,1037410
57279,MISCELLANEOUS,98,RESIDENCE,1037301
57280,SEXUAL ORIENTATION,73,STREET,1037636
57281,USE OF PROFANITY,158,STREET,1036889
57282,CLOSED HAND STRIKE (PUNCH),736,SIDEWALK,1036537
57283,EXCESSIVE FORCE / ON DUTY - INJURY,156,POLICE FACILITY/VEH PARKING LOT,1036508
57284,CLOSED HAND STRIKE (PUNCH),204,RESIDENCE,1036382
57285,INJURY,686,RESIDENCE,1036246
57286,"IMPACT WEAPON - UNAUTHORIZED (FLASHLIGHT, HANDCUFFS, ETC)",91,SIDEWALK,1035895
57287,DOMESTIC INCIDENT - NOT PHYSICAL,1579,RESIDENCE,1037367
57288,DRAGGED,552,VEHICLE NON-COMMERCIAL,1037443
57289,TAKE DOWN (THROWN TO GROUND),149,STREET,1035220
57290,MISCELLANEOUS,199,SIDEWALK,1037610
57291,MISCELLANEOUS,451,RESIDENCE,1037317
57292,PUSH/PULL/GRAB,496,OTHER,1037336
57293,KICKED,698,STREET,1037273
57294,CLOSED HAND STRIKE (PUNCH),1509,STREET,1036341
57295,EXCESSIVE FORCE / ON DUTY - INJURY,104,RESIDENTIAL YARD (FRONT/BACK),1036125
57296,MISCELLANEOUS,742,POLICE FACILITY/VEH PARKING LOT,1037310
57297,EXCESSIVE FORCE / ON DUTY - INJURY,190,SIDEWALK,1038208
57298,MISCELLANEOUS,273,SIDEWALK,1036659
57299,MISCELLANEOUS,594,CTA PLATFORM,1037299
57300,IMPROPER,1048,POLICE FACILITY/VEH PARKING LOT,1037656
57301,TAKE DOWN (THROWN TO GROUND),615,HOSPITAL BUILDING/GROUNDS,1034879
57302,MISCELLANEOUS,750,POLICE FACILITY/VEH PARKING LOT,1035184
57303,EXCESSIVE FORCE / ON DUTY - INJURY,873,PARKING LOT/GARAGE(NON.RESID.),1037547
57304,CLOSED HAND STRIKE (PUNCH),1403,RESIDENCE,1037714
57305,CLOSED HAND STRIKE (PUNCH),292,APARTMENT,1036263
57306,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,656,STREET,1035465
57307,MISCELLANEOUS,627,STREET,1035331
57308,EXCESSIVE FORCE / ON DUTY - NO INJURY,391,STREET,1037673
57309,MISCELLANEOUS,51,POLICE FACILITY/VEH PARKING LOT,1035207
57310,SEXUAL ORIENTATION,52,"SCHOOL, PRIVATE, GROUNDS",1036110
57311,MISCELLANEOUS,199,SIDEWALK,1037610
57312,TAKE DOWN (THROWN TO GROUND),598,SIDEWALK,1036375
57313,EXCESSIVE FORCE / ON DUTY - NO INJURY,412,SIDEWALK,1035318
57314,HARASSMENT,152,STREET,1037691
57315,MISCELLANEOUS,157,POLICE FACILITY/VEH PARKING LOT,1035386
57316,INJURY,1079,STREET,1036356
57317,MISCELLANEOUS,628,STREET,1036261
57318,"RACIAL / ETHNIC, ETC.",1241,POLICE FACILITY/VEH PARKING LOT,1038335
57319,EXCESSIVE FORCE / ON DUTY - INJURY,380,RESIDENCE,1037872
57320,HANDCUFF TOO TIGHT,173,SIDEWALK,1035317
57321,PUSH/PULL/GRAB,336,"SCHOOL, PUBLIC, GROUNDS",1035770
57322,HARASSMENT,17,RESIDENCE,1038398
57323,OPEN HAND STRIKE (SLAP),86,STREET,1036580
57324,HARASSMENT,17,RESIDENCE,1038398
57325,EXCESSIVE FORCE / ON DUTY - INJURY,519,CTA BUS,1035971
57326,EXCESSIVE FORCE / ON DUTY - INJURY,921,STREET,1035501
57327,CHOKED,772,STREET,1037807
57328,VEHICLE,900,CHA PARKING LOT/GROUNDS,1038072
57329,TASER (PROBE DISCHARGE),829,STREET,1037593
57330,KICKED,698,STREET,1037273
57331,MISCELLANEOUS,43,"SCHOOL, PUBLIC, BUILDING",1037241
57332,TASER (CONTACT STUN),915,STREET,1010481
57333,VERBAL ABUSE,1350,RESIDENCE,1035196
57334,EXCESSIVE FORCE / ON DUTY - INJURY,763,STREET,1036237
57335,EXCESSIVE FORCE / ON DUTY - NO INJURY,771,,1037361
57336,CLOSED HAND STRIKE (PUNCH),221,STREET,1037363
57337,NO INJURY,724,POLICE FACILITY/VEH PARKING LOT,1037843
57338,CLOSED HAND STRIKE (PUNCH),498,STREET,1037349
57339,TAKE DOWN (THROWN TO GROUND),598,SIDEWALK,1036375
57340,EXCESSIVE FORCE / ON DUTY - INJURY,889,STREET,1036378
57341,PUSH/PULL/GRAB,87,STREET,1037626
57342,TAKE DOWN (THROWN TO GROUND),218,RESTAURANT,1037821
57343,"RACIAL / ETHNIC, ETC.",576,CTA TRAIN,1034862
57344,PUSH/PULL/GRAB,482,,1036444
57345,NO INJURY,724,POLICE FACILITY/VEH PARKING LOT,1037843
57346,FIREARM DISCHARGE WITH HITS - HANDGUN,304,RESIDENCE PORCH/HALLWAY,1035277
57347,MISCELLANEOUS,855,SIDEWALK,1036175
57348,KICKED,411,STREET,1037258
57349,CLOSED HAND STRIKE (PUNCH),879,SIDEWALK,1037579
57350,MISCELLANEOUS,394,ALLEY,1036567
57351,EXCESSIVE FORCE / ON DUTY - INJURY,213,SIDEWALK,1038142
57352,EXCESSIVE FORCE / ON DUTY - INJURY,380,RESIDENCE,1037872
57353,DRAGGED,382,STREET,1036266
57354,STOMPED / STEPPED ON,665,RESIDENCE,1036419
57355,PUSH/PULL/GRAB,242,ALLEY,1035105
57356,EXCESSIVE FORCE / ON DUTY - INJURY,915,STREET,1036535
57357,MISCELLANEOUS,331,STREET,1037374
57358,TAKE DOWN (THROWN TO GROUND),484,STREET,1037414
57359,EXCESSIVE FORCE / ON DUTY - NO INJURY,771,,1037361
57360,INJURY,836,RESIDENCE,1038143
57361,TAKE DOWN (THROWN TO GROUND),764,"SCHOOL, PUBLIC, BUILDING",1036429
57362,CLOSED HAND STRIKE (PUNCH),603,RESIDENCE PORCH/HALLWAY,1036222
57363,TAKE DOWN (THROWN TO GROUND),1154,RESIDENCE PORCH/HALLWAY,1035064
57364,PUSH/PULL/GRAB,44,STREET,1038363
57365,"RACIAL / ETHNIC, ETC.",440,STREET,1037263
57366,CHOKED,274,"SCHOOL, PUBLIC, BUILDING",1036647
57367,DOMESTIC ALTERCATION - PHYSICAL ABUSE,131,APARTMENT,1038232
57368,EXCESSIVE FORCE / ON DUTY - INJURY,156,POLICE FACILITY/VEH PARKING LOT,1036508
57369,EXCESSIVE FORCE / ON DUTY - INJURY,505,,1038190
57370,MISCELLANEOUS,331,STREET,1037374
57371,MISCELLANEOUS,582,RESIDENCE PORCH/HALLWAY,1038660
57372,MISCELLANEOUS,851,STREET,1035912
57373,EXCESSIVE FORCE / ON DUTY - INJURY,161,POLICE FACILITY/VEH PARKING LOT,1035103
57374,DOMESTIC ALTERCATION - PHYSICAL ABUSE,250,STREET,1036519
57375,MISCELLANEOUS,255,STREET,1038327
57376,EXCESSIVE FORCE / OFF DUTY - INJURY,1221,"SCHOOL, PUBLIC, GROUNDS",1036521
57377,TASER (PROBE DISCHARGE),829,STREET,1037593
57378,MISCELLANEOUS,148,RESIDENTIAL YARD (FRONT/BACK),1037616
57379,MISCELLANEOUS,43,"SCHOOL, PUBLIC, BUILDING",1037241
57380,"RACIAL / ETHNIC, ETC.",312,STREET,1038073
57381,EXCESSIVE FORCE / ON DUTY - INJURY,198,RESIDENCE,1038051
57382,MISCELLANEOUS,1403,OTHER,1037405
57383,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,155,STREET,1035160
57384,IMPACT WEAPON - AUTHORIZED (BATON / ASP),283,STREET,1037218
57385,PUSH/PULL/GRAB,1532,RESIDENCE,1036433
57386,EXCESSIVE FORCE / ON DUTY - NO INJURY,173,POLICE FACILITY/VEH PARKING LOT,1035295
57387,PUSH/PULL/GRAB,668,RESIDENCE PORCH/HALLWAY,1036187
57388,IMPACT WEAPON - AUTHORIZED (BATON / ASP),504,RESIDENCE PORCH/HALLWAY,1037854
57389,CHOKED,232,STREET,1037678
57390,STOMPED / STEPPED ON,482,,1037755
57391,EXCESSIVE FORCE / ON DUTY - INJURY,194,STREET,1036081
57392,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,726,RESIDENCE-GARAGE,1038330
57393,MISCELLANEOUS,492,RESIDENCE,1036340
57394,EXCESSIVE FORCE / ON DUTY - INJURY,645,SIDEWALK,1035660
57395,MISCELLANEOUS,775,STREET,1038482
57396,MISCELLANEOUS,722,SIDEWALK,1037884
57397,UNNECESSARY DISPLAY OF WEAPON / OFF DUTY,1221,STREET,1038666
57398,IMPACT WEAPON - AUTHORIZED (BATON / ASP),472,STREET,1038009
57399,EXCESSIVE FORCE / ON DUTY - NO INJURY,221,SIDEWALK,1037938
57400,CLOSED HAND STRIKE (PUNCH),736,SIDEWALK,1036537
57401,EXCESSIVE FORCE / ON DUTY - INJURY,79,STREET,1038567
57402,EXCESSIVE FORCE / ON DUTY - INJURY,873,PARKING LOT/GARAGE(NON.RESID.),1037547
57403,FIREARM USED AS AN IMPACT WEAPON,485,SIDEWALK,1035805
57404,TAKE DOWN (THROWN TO GROUND),850,RESIDENCE,1038182
